City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,bafoulabe,13.8065,-10.8321,25.11,88,100,1.85,ML,1691788311
282,hammerfest,70.6634,23.6821,16.25,67,0,2.57,NO,1691788311
283,saldanha,-33.0117,17.9442,13.65,91,23,3.05,ZA,1691788312
284,isafjordur,66.0755,-23.124,10.01,82,100,3.42,IS,1691788312
285,brisas de zicatela,15.8369,-97.0419,32.29,58,40,3.6,MX,1691788312
286,sandnessjoen,66.0217,12.6316,13.29,94,75,2.06,NO,1691788312
287,flin flon,54.7682,-101.865,16.91,67,100,5.14,CA,1691787834
288,mariehamn,60.0973,19.9348,14.34,82,0,6.17,AX,1691788312
289,meulaboh,4.1363,96.1285,24.21,90,85,1.77,ID,1691788312
290,gornyye klyuchi,45.25,133.5,18.94,96,96,2.68,RU,1691788313
291,ponte nova,-20.4164,-42.9086,23.89,48,0,2.68,BR,1691788313
292,hithadhoo,-0.6,73.0833,27.0,76,100,5.84,MV,1691788313
293,susner,23.95,76.0833,23.41,83,98,4.32,IN,1691788313
294,chegdomyn,51.1167,133.0167,16.84,76,100,1.4,RU,1691788313
295,castillos,-34.1667,-53.8333,14.78,42,16,5.13,UY,1691788314
296,coquimbo,-29.9533,-71.3436,18.85,63,0,5.14,CL,1691788314
297,hasaki,35.7333,140.8333,27.39,92,65,4.42,JP,1691788314
298,nova vicosa,-17.8919,-39.3719,23.14,79,41,3.98,BR,1691788314
299,hashtpar,37.8008,48.9037,28.68,48,0,1.73,IR,1691788314
300,pandan,14.0453,124.1694,27.09,83,99,2.59,PH,1691788315
301,korla,41.7597,86.1469,30.12,23,98,3.65,CN,1691788315
302,yei,4.095,30.6779,20.32,84,5,1.46,SS,1691788315
303,cananeia,-25.0147,-47.9267,20.58,90,69,0.66,BR,1691788315
304,olonets,60.9847,32.9698,16.29,95,100,2.38,RU,1691788315
305,weno,7.4515,151.8468,26.97,89,100,5.66,FM,1691788315
306,disa,24.25,72.1667,26.48,78,84,4.56,IN,1691788316
307,akrehamn,59.2667,5.1833,17.78,88,75,7.72,NO,1691788316
308,mbanza-ngungu,-5.25,14.8667,26.44,48,43,0.49,CD,1691788316
309,kudahuvadhoo,2.6708,72.8944,27.5,74,99,4.64,MV,1691788316
310,ilhabela,-23.7781,-45.3581,23.2,81,0,1.3,BR,1691788316
311,iskateley,67.6803,53.1512,15.19,61,4,2.92,RU,1691788317
312,ibotirama,-12.1853,-43.2206,28.35,24,2,1.86,BR,1691788186
313,cambria,35.5641,-121.0808,31.59,62,25,2.95,US,1691788317
314,kulhudhuffushi,6.6221,73.07,28.03,75,100,6.01,MV,1691788317
315,imphal,24.8167,93.95,21.69,99,100,0.65,IN,1691788317
316,pionerskiy,54.9508,20.2275,9.91,61,0,0.82,RU,1691788317
317,dingzhou,38.5131,114.9956,22.64,96,100,2.53,CN,1691788318
318,vuktyl,63.8567,57.3094,11.85,77,11,1.82,RU,1691788318
319,northam,51.0333,-4.2167,16.88,91,100,5.59,GB,1691788318
320,coahuayana de hidalgo,18.7,-103.6583,32.82,60,44,3.43,MX,1691788318
321,sisimiut,66.9395,-53.6735,7.82,83,100,2.86,GL,1691788318
322,victoria point,-27.5833,153.3,15.66,81,0,2.2,AU,1691788318
323,nizhnyaya omka,55.4338,74.9426,11.16,97,100,4.2,RU,1691788318
324,akureyri,65.6835,-18.0878,9.96,87,75,4.12,IS,1691788319
325,tafuna,-14.3358,-170.72,27.6,80,71,7.06,AS,1691788319
326,manokwari,-0.8667,134.0833,25.19,77,87,1.28,ID,1691788319
327,howard springs,-12.497,131.047,23.95,74,48,2.68,AU,1691788319
328,sao vicente,-23.9631,-46.3919,26.1,26,0,0.65,BR,1691788319
